Date,Month,Year,Site,Focal,Rep,Neighbor,Assemblage,Site_ID,Plant ,Biomass,Total.Biomass
9/7/17,September,2017,SDL,cord,C-10,absent,cordgrass,SDL2,cordgrass,179.4059,179.4059
9/7/17,September,2017,SDL,cord,C-9,absent,cordgrass,SDL2,cordgrass,196.6297,196.6297
9/7/17,September,2017,SDL,cord,C-8,absent,cordgrass,SDL2,cordgrass,144.2309,144.2309
9/7/17,September,2017,SDL,cord,C-7,absent,cordgrass,SDL2,cordgrass,161.0021,161.0021
9/7/17,September,2017,SDL,cord,C-6,absent,cordgrass,SDL2,cordgrass,131.6331,131.6331
9/7/17,September,2017,SDL,cord,C-1,absent,cordgrass,SDL2,cordgrass,166.5949,166.5949
9/7/17,September,2017,SDL,cord,C-2,absent,cordgrass,SDL2,cordgrass,145.078,145.078
9/7/17,September,2017,SDL,cord,C-3,absent,cordgrass,SDL2,cordgrass,275.5003,275.5003
9/7/17,September,2017,SDL,cord,C-4,absent,cordgrass,SDL2,cordgrass,261.7013,261.7013
9/7/17,September,2017,SDL,cord,C-5,absent,cordgrass,SDL2,cordgrass,283.7658,283.7658
9/7/17,September,2017,SDL,cord,C-10,absent,cordgrass,SDL2,pickleweed,0,179.4059
9/7/17,September,2017,SDL,cord,C-9,absent,cordgrass,SDL2,pickleweed,0,196.6297
9/7/17,September,2017,SDL,cord,C-8,absent,cordgrass,SDL2,pickleweed,0,144.2309
9/7/17,September,2017,SDL,cord,C-7,absent,cordgrass,SDL2,pickleweed,0,161.0021
9/7/17,September,2017,SDL,cord,C-6,absent,cordgrass,SDL2,pickleweed,0,131.6331
9/7/17,September,2017,SDL,cord,C-1,absent,cordgrass,SDL2,pickleweed,0,166.5949
9/7/17,September,2017,SDL,cord,C-2,absent,cordgrass,SDL2,pickleweed,0,145.078
9/7/17,September,2017,SDL,cord,C-3,absent,cordgrass,SDL2,pickleweed,0,275.5003
9/7/17,September,2017,SDL,cord,C-4,absent,cordgrass,SDL2,pickleweed,0,261.7013
9/7/17,September,2017,SDL,cord,C-5,absent,cordgrass,SDL2,pickleweed,0,283.7658
9/8/16,September,2016,KF,cord,C-1,absent,cordgrass,KF1,cordgrass,77.6,77.6
9/8/16,September,2016,KF,cord,C-2,absent,cordgrass,KF1,cordgrass,90.7,90.7
9/8/16,September,2016,KF,cord,C-3,absent,cordgrass,KF1,cordgrass,12.4,12.4
9/8/16,September,2016,KF,cord,C-4,absent,cordgrass,KF1,cordgrass,19.8,19.8
9/8/16,September,2016,KF,cord,C-5,absent,cordgrass,KF1,cordgrass,65.2,65.2
9/8/16,September,2016,KF,cord,C-6,absent,cordgrass,KF1,cordgrass,99.8,99.8
9/8/16,September,2016,KF,cord,C-7,absent,cordgrass,KF1,cordgrass,79,79
9/8/16,September,2016,KF,cord,C-1,absent,cordgrass,KF1,pickleweed,0,77.6
9/8/16,September,2016,KF,cord,C-2,absent,cordgrass,KF1,pickleweed,0,90.7
9/8/16,September,2016,KF,cord,C-3,absent,cordgrass,KF1,pickleweed,0,12.4
9/8/16,September,2016,KF,cord,C-4,absent,cordgrass,KF1,pickleweed,0,19.8
9/8/16,September,2016,KF,cord,C-5,absent,cordgrass,KF1,pickleweed,0,65.2
9/8/16,September,2016,KF,cord,C-6,absent,cordgrass,KF1,pickleweed,0,99.8
9/8/16,September,2016,KF,cord,C-7,absent,cordgrass,KF1,pickleweed,0,79
9/6/16,September,2016,SDL,cord,C-1,absent,cordgrass,SDL1,cordgrass,164.7,164.7
9/6/16,September,2016,SDL,cord,C-2,absent,cordgrass,SDL1,cordgrass,127,127
9/6/16,September,2016,SDL,cord,C-3,absent,cordgrass,SDL1,cordgrass,115.7,115.7
9/6/16,September,2016,SDL,cord,C-4,absent,cordgrass,SDL1,cordgrass,25.7,25.7
9/6/16,September,2016,SDL,cord,C-5,absent,cordgrass,SDL1,cordgrass,219.8,219.8
9/6/16,September,2016,SDL,cord,C-6,absent,cordgrass,SDL1,cordgrass,97.8,97.8
9/6/16,September,2016,SDL,cord,C-7,absent,cordgrass,SDL1,cordgrass,150.7,150.7
9/6/16,September,2016,SDL,cord,C-8,absent,cordgrass,SDL1,cordgrass,186.9,186.9
9/6/16,September,2016,SDL,cord,C-1,absent,cordgrass,SDL1,pickleweed,0,164.7
9/6/16,September,2016,SDL,cord,C-2,absent,cordgrass,SDL1,pickleweed,0,127
9/6/16,September,2016,SDL,cord,C-3,absent,cordgrass,SDL1,pickleweed,0,115.7
9/6/16,September,2016,SDL,cord,C-4,absent,cordgrass,SDL1,pickleweed,0,25.7
9/6/16,September,2016,SDL,cord,C-5,absent,cordgrass,SDL1,pickleweed,0,219.8
9/6/16,September,2016,SDL,cord,C-6,absent,cordgrass,SDL1,pickleweed,0,97.8
9/6/16,September,2016,SDL,cord,C-7,absent,cordgrass,SDL1,pickleweed,0,150.7
9/6/16,September,2016,SDL,cord,C-8,absent,cordgrass,SDL1,pickleweed,0,186.9
9/7/17,September,2017,SDL,cord,C+10,present,mixed,SDL2,cordgrass,226.565,372.1171
9/7/17,September,2017,SDL,cord,C+9,present,mixed,SDL2,cordgrass,388.7577,550.8076
9/7/17,September,2017,SDL,cord,C+8,present,mixed,SDL2,cordgrass,156.9494,286.3862
9/7/17,September,2017,SDL,cord,C+7,present,mixed,SDL2,cordgrass,122.414,277.7495
9/7/17,September,2017,SDL,cord,C+6,present,mixed,SDL2,cordgrass,162.8105,335.6489
9/7/17,September,2017,SDL,cord,C+5,present,mixed,SDL2,cordgrass,146.4103,293.3989
9/7/17,September,2017,SDL,cord,C+1,present,mixed,SDL2,cordgrass,101.226,101.226
9/7/17,September,2017,SDL,cord,C+2,present,mixed,SDL2,cordgrass,225.9234,329.9391
9/7/17,September,2017,SDL,cord,C+3,present,mixed,SDL2,cordgrass,109.0942,214.6914
9/7/17,September,2017,SDL,cord,C+4,present,mixed,SDL2,cordgrass,129.3558,199.1822
9/7/17,September,2017,SDL,cord,C+10,present,mixed,SDL2,pickleweed,145.5521,372.1171
9/7/17,September,2017,SDL,cord,C+9,present,mixed,SDL2,pickleweed,162.0499,550.8076
9/7/17,September,2017,SDL,cord,C+8,present,mixed,SDL2,pickleweed,129.4368,286.3862
9/7/17,September,2017,SDL,cord,C+7,present,mixed,SDL2,pickleweed,155.3355,277.7495
9/7/17,September,2017,SDL,cord,C+6,present,mixed,SDL2,pickleweed,172.8384,335.6489
9/7/17,September,2017,SDL,cord,C+5,present,mixed,SDL2,pickleweed,146.9886,293.3989
9/7/17,September,2017,SDL,cord,C+1,present,mixed,SDL2,pickleweed,,101.226
9/7/17,September,2017,SDL,cord,C+2,present,mixed,SDL2,pickleweed,104.0157,329.9391
9/7/17,September,2017,SDL,cord,C+3,present,mixed,SDL2,pickleweed,105.5972,214.6914
9/7/17,September,2017,SDL,cord,C+4,present,mixed,SDL2,pickleweed,69.8264,199.1822
9/8/16,September,2016,KF,cord,C+1,present,mixed,KF1,cordgrass,53.2,140.2
9/8/16,September,2016,KF,cord,C+2,present,mixed,KF1,cordgrass,142.5,259.6
9/8/16,September,2016,KF,cord,C+3,present,mixed,KF1,cordgrass,125.4,240.2
9/8/16,September,2016,KF,cord,C+4,present,mixed,KF1,cordgrass,13.21,166.11
9/8/16,September,2016,KF,cord,C+5,present,mixed,KF1,cordgrass,118.7,212
9/8/16,September,2016,KF,cord,C+6,present,mixed,KF1,cordgrass,58.8,194.4
9/8/16,September,2016,KF,cord,C+7,present,mixed,KF1,cordgrass,73.4,173.1
9/8/16,September,2016,KF,cord,C+1,present,mixed,KF1,pickleweed,87,140.2
9/8/16,September,2016,KF,cord,C+2,present,mixed,KF1,pickleweed,117.1,259.6
9/8/16,September,2016,KF,cord,C+3,present,mixed,KF1,pickleweed,114.8,240.2
9/8/16,September,2016,KF,cord,C+4,present,mixed,KF1,pickleweed,152.9,166.11
9/8/16,September,2016,KF,cord,C+5,present,mixed,KF1,pickleweed,93.3,212
9/8/16,September,2016,KF,cord,C+6,present,mixed,KF1,pickleweed,135.6,194.4
9/8/16,September,2016,KF,cord,C+7,present,mixed,KF1,pickleweed,99.7,173.1
9/6/16,September,2016,SDL,cord,C+1,present,mixed,SDL1,cordgrass,111.7,266.7
9/6/16,September,2016,SDL,cord,C+2,present,mixed,SDL1,cordgrass,139.6,304.4
9/6/16,September,2016,SDL,cord,C+3,present,mixed,SDL1,cordgrass,227.8,355.6
9/6/16,September,2016,SDL,cord,C+4,present,mixed,SDL1,cordgrass,96.8,225.1
9/6/16,September,2016,SDL,cord,C+5,present,mixed,SDL1,cordgrass,169.5,310.1
9/6/16,September,2016,SDL,cord,C+6,present,mixed,SDL1,cordgrass,119.9,464.4
9/6/16,September,2016,SDL,cord,C+7,present,mixed,SDL1,cordgrass,111.4,367.5
9/6/16,September,2016,SDL,cord,C+8,present,mixed,SDL1,cordgrass,110.1,424.9
9/6/16,September,2016,SDL,cord,C+1,present,mixed,SDL1,pickleweed,155,266.7
9/6/16,September,2016,SDL,cord,C+2,present,mixed,SDL1,pickleweed,164.8,304.4
9/6/16,September,2016,SDL,cord,C+3,present,mixed,SDL1,pickleweed,127.8,355.6
9/6/16,September,2016,SDL,cord,C+4,present,mixed,SDL1,pickleweed,128.3,225.1
9/6/16,September,2016,SDL,cord,C+5,present,mixed,SDL1,pickleweed,140.6,310.1
9/6/16,September,2016,SDL,cord,C+6,present,mixed,SDL1,pickleweed,344.5,464.4
9/6/16,September,2016,SDL,cord,C+7,present,mixed,SDL1,pickleweed,256.1,367.5
9/6/16,September,2016,SDL,cord,C+8,present,mixed,SDL1,pickleweed,314.8,424.9
9/7/17,September,2017,SDL,pickle,P-10,absent,pickleweed,SDL2,cordgrass,0,252.6552
9/7/17,September,2017,SDL,pickle,P-9,absent,pickleweed,SDL2,cordgrass,0,144.5587
9/7/17,September,2017,SDL,pickle,P-8,absent,pickleweed,SDL2,cordgrass,0,169.6865
9/7/17,September,2017,SDL,pickle,P-7,absent,pickleweed,SDL2,cordgrass,0,233.3801
9/7/17,September,2017,SDL,pickle,P-1,absent,pickleweed,SDL2,cordgrass,0,110.3809
9/7/17,September,2017,SDL,pickle,P-2,absent,pickleweed,SDL2,cordgrass,0,83.4151
9/7/17,September,2017,SDL,pickle,P-4,absent,pickleweed,SDL2,cordgrass,0,38.9599
9/7/17,September,2017,SDL,pickle,P-3,absent,pickleweed,SDL2,cordgrass,0,124.0601
9/7/17,September,2017,SDL,pickle,P-5,absent,pickleweed,SDL2,cordgrass,0,95.963
9/7/17,September,2017,SDL,pickle,P-6,absent,pickleweed,SDL2,cordgrass,0,259.1014
9/7/17,September,2017,SDL,pickle,P-10,absent,pickleweed,SDL2,pickleweed,252.6552,252.6552
9/7/17,September,2017,SDL,pickle,P-9,absent,pickleweed,SDL2,pickleweed,144.5587,144.5587
9/7/17,September,2017,SDL,pickle,P-8,absent,pickleweed,SDL2,pickleweed,169.6865,169.6865
9/7/17,September,2017,SDL,pickle,P-7,absent,pickleweed,SDL2,pickleweed,233.3801,233.3801
9/7/17,September,2017,SDL,pickle,P-1,absent,pickleweed,SDL2,pickleweed,110.3809,110.3809
9/7/17,September,2017,SDL,pickle,P-2,absent,pickleweed,SDL2,pickleweed,83.4151,83.4151
9/7/17,September,2017,SDL,pickle,P-4,absent,pickleweed,SDL2,pickleweed,38.9599,38.9599
9/7/17,September,2017,SDL,pickle,P-3,absent,pickleweed,SDL2,pickleweed,124.0601,124.0601
9/7/17,September,2017,SDL,pickle,P-5,absent,pickleweed,SDL2,pickleweed,95.963,95.963
9/7/17,September,2017,SDL,pickle,P-6,absent,pickleweed,SDL2,pickleweed,259.1014,259.1014
9/8/16,September,2016,KF,pickle,P-1,absent,pickleweed,KF1,cordgrass,0,163.1
9/8/16,September,2016,KF,pickle,P-2,absent,pickleweed,KF1,cordgrass,0,59.6
9/8/16,September,2016,KF,pickle,P-3,absent,pickleweed,KF1,cordgrass,0,175.4
9/8/16,September,2016,KF,pickle,P-4,absent,pickleweed,KF1,cordgrass,0,129.5
9/8/16,September,2016,KF,pickle,P-5,absent,pickleweed,KF1,cordgrass,0,179.7
9/8/16,September,2016,KF,pickle,P-6,absent,pickleweed,KF1,cordgrass,0,185.2
9/8/16,September,2016,KF,pickle,P-7,absent,pickleweed,KF1,cordgrass,0,87.3
9/8/16,September,2016,KF,pickle,P-1,absent,pickleweed,KF1,pickleweed,163.1,163.1
9/8/16,September,2016,KF,pickle,P-2,absent,pickleweed,KF1,pickleweed,59.6,59.6
9/8/16,September,2016,KF,pickle,P-3,absent,pickleweed,KF1,pickleweed,175.4,175.4
9/8/16,September,2016,KF,pickle,P-4,absent,pickleweed,KF1,pickleweed,129.5,129.5
9/8/16,September,2016,KF,pickle,P-5,absent,pickleweed,KF1,pickleweed,179.7,179.7
9/8/16,September,2016,KF,pickle,P-6,absent,pickleweed,KF1,pickleweed,185.2,185.2
9/8/16,September,2016,KF,pickle,P-7,absent,pickleweed,KF1,pickleweed,87.3,87.3
9/6/16,September,2016,SDL,pickle,P-1,absent,pickleweed,SDL1,cordgrass,0,167.7
9/6/16,September,2016,SDL,pickle,P-2,absent,pickleweed,SDL1,cordgrass,0,97.7
9/6/16,September,2016,SDL,pickle,P-3,absent,pickleweed,SDL1,cordgrass,0,97.5
9/6/16,September,2016,SDL,pickle,P-4,absent,pickleweed,SDL1,cordgrass,0,255.8
9/6/16,September,2016,SDL,pickle,P-5,absent,pickleweed,SDL1,cordgrass,0,367.1
9/6/16,September,2016,SDL,pickle,P-6,absent,pickleweed,SDL1,cordgrass,0,294.7
9/6/16,September,2016,SDL,pickle,P-7,absent,pickleweed,SDL1,cordgrass,0,250.8
9/6/16,September,2016,SDL,pickle,P-8,absent,pickleweed,SDL1,cordgrass,0,136.4
9/6/16,September,2016,SDL,pickle,P-1,absent,pickleweed,SDL1,pickleweed,167.7,167.7
9/6/16,September,2016,SDL,pickle,P-2,absent,pickleweed,SDL1,pickleweed,97.7,97.7
9/6/16,September,2016,SDL,pickle,P-3,absent,pickleweed,SDL1,pickleweed,97.5,97.5
9/6/16,September,2016,SDL,pickle,P-4,absent,pickleweed,SDL1,pickleweed,255.8,255.8
9/6/16,September,2016,SDL,pickle,P-5,absent,pickleweed,SDL1,pickleweed,367.1,367.1
9/6/16,September,2016,SDL,pickle,P-6,absent,pickleweed,SDL1,pickleweed,294.7,294.7
9/6/16,September,2016,SDL,pickle,P-7,absent,pickleweed,SDL1,pickleweed,250.8,250.8
9/6/16,September,2016,SDL,pickle,P-8,absent,pickleweed,SDL1,pickleweed,136.4,136.4
9/7/17,September,2017,SDL,pickle,P+10,present,mixed,SDL2,cordgrass,146.9927,229.0744
9/7/17,September,2017,SDL,pickle,P+9,present,mixed,SDL2,cordgrass,205.5779,315.8466
9/7/17,September,2017,SDL,pickle,P+8,present,mixed,SDL2,cordgrass,123.6967,285.88
9/7/17,September,2017,SDL,pickle,P+7,present,mixed,SDL2,cordgrass,85.6842,242.7807
9/7/17,September,2017,SDL,pickle,P+6,present,mixed,SDL2,cordgrass,151.593,271.721
9/7/17,September,2017,SDL,pickle,P+5,present,mixed,SDL2,cordgrass,176.1125,337.8286
9/7/17,September,2017,SDL,pickle,P+1,present,mixed,SDL2,cordgrass,205.5779,276.0586
9/7/17,September,2017,SDL,pickle,P+2,present,mixed,SDL2,cordgrass,100.771,244.343
9/7/17,September,2017,SDL,pickle,P+3,present,mixed,SDL2,cordgrass,164.9351,332.4794
9/7/17,September,2017,SDL,pickle,P+4,present,mixed,SDL2,cordgrass,92.9738,206.2877
9/7/17,September,2017,SDL,pickle,P+10,present,mixed,SDL2,pickleweed,81.4081,229.0744
9/7/17,September,2017,SDL,pickle,P+9,present,mixed,SDL2,pickleweed,110.2687,315.8466
9/7/17,September,2017,SDL,pickle,P+8,present,mixed,SDL2,pickleweed,162.1833,285.88
9/7/17,September,2017,SDL,pickle,P+7,present,mixed,SDL2,pickleweed,157.0965,242.7807
9/7/17,September,2017,SDL,pickle,P+6,present,mixed,SDL2,pickleweed,120.128,271.721
9/7/17,September,2017,SDL,pickle,P+5,present,mixed,SDL2,pickleweed,161.7161,337.8286
9/7/17,September,2017,SDL,pickle,P+1,present,mixed,SDL2,pickleweed,70.4807,276.0586
9/7/17,September,2017,SDL,pickle,P+2,present,mixed,SDL2,pickleweed,143.572,244.343
9/7/17,September,2017,SDL,pickle,P+3,present,mixed,SDL2,pickleweed,167.5443,332.4794
9/7/17,September,2017,SDL,pickle,P+4,present,mixed,SDL2,pickleweed,113.3139,206.2877
9/8/16,September,2016,KF,pickle,P+1,present,mixed,KF1,cordgrass,117.5,225.1
9/8/16,September,2016,KF,pickle,P+2,present,mixed,KF1,cordgrass,68.3,238.8
9/8/16,September,2016,KF,pickle,P+3,present,mixed,KF1,cordgrass,62,305
9/8/16,September,2016,KF,pickle,P+4,present,mixed,KF1,cordgrass,44,229.4
9/8/16,September,2016,KF,pickle,P+5,present,mixed,KF1,cordgrass,91.2,195
9/8/16,September,2016,KF,pickle,P+6,present,mixed,KF1,cordgrass,90.5,133.8
9/8/16,September,2016,KF,pickle,P+7,present,mixed,KF1,cordgrass,139.8,192.3
9/8/16,September,2016,KF,pickle,P+1,present,mixed,KF1,pickleweed,107.6,225.1
9/8/16,September,2016,KF,pickle,P+2,present,mixed,KF1,pickleweed,170.5,238.8
9/8/16,September,2016,KF,pickle,P+3,present,mixed,KF1,pickleweed,243,305
9/8/16,September,2016,KF,pickle,P+4,present,mixed,KF1,pickleweed,185.4,229.4
9/8/16,September,2016,KF,pickle,P+5,present,mixed,KF1,pickleweed,103.8,195
9/8/16,September,2016,KF,pickle,P+6,present,mixed,KF1,pickleweed,43.3,133.8
9/8/16,September,2016,KF,pickle,P+7,present,mixed,KF1,pickleweed,52.5,192.3
9/6/16,September,2016,SDL,pickle,P+1,present,mixed,SDL1,cordgrass,194.8,324.5
9/6/16,September,2016,SDL,pickle,P+2,present,mixed,SDL1,cordgrass,225.9,402.6
9/6/16,September,2016,SDL,pickle,P+3,present,mixed,SDL1,cordgrass,133,313.1
9/6/16,September,2016,SDL,pickle,P+4,present,mixed,SDL1,cordgrass,81.1,301.8
9/6/16,September,2016,SDL,pickle,P+5,present,mixed,SDL1,cordgrass,85.8,362.2
9/6/16,September,2016,SDL,pickle,P+6,present,mixed,SDL1,cordgrass,106.4,237.8
9/6/16,September,2016,SDL,pickle,P+7,present,mixed,SDL1,cordgrass,130.1,426.8
9/6/16,September,2016,SDL,pickle,P+8,present,mixed,SDL1,cordgrass,136.2,489.7
9/6/16,September,2016,SDL,pickle,P+1,present,mixed,SDL1,pickleweed,129.7,324.5
9/6/16,September,2016,SDL,pickle,P+2,present,mixed,SDL1,pickleweed,176.7,402.6
9/6/16,September,2016,SDL,pickle,P+3,present,mixed,SDL1,pickleweed,180.1,313.1
9/6/16,September,2016,SDL,pickle,P+4,present,mixed,SDL1,pickleweed,220.7,301.8
9/6/16,September,2016,SDL,pickle,P+5,present,mixed,SDL1,pickleweed,276.4,362.2
9/6/16,September,2016,SDL,pickle,P+6,present,mixed,SDL1,pickleweed,131.4,237.8
9/6/16,September,2016,SDL,pickle,P+7,present,mixed,SDL1,pickleweed,296.7,426.8
9/6/16,September,2016,SDL,pickle,P+8,present,mixed,SDL1,pickleweed,353.5,489.7