Month,Year,Site_ID,Site,Rep,Focal.Plant,Neighbor,Assemblage,Depth,FeO3.Tot,Stem.Num
September,2017,SDL2,SDL,C-3,cordgrass,absent,cordgrass,0-10,0.273996132,46
September,2017,SDL2,SDL,C-3,cordgrass,absent,cordgrass,10-20,0.849854769,46
September,2017,SDL2,SDL,C-5,cordgrass,absent,cordgrass,0-10,0.034042514,62
September,2017,SDL2,SDL,C-5,cordgrass,absent,cordgrass,10-20,0.738914426,62
September,2017,SDL2,SDL,C-6,cordgrass,absent,cordgrass,0-10,0.158214644,34
September,2017,SDL2,SDL,C-6,cordgrass,absent,cordgrass,10-20,0.873282322,34
September,2017,SDL2,SDL,C-8,cordgrass,absent,cordgrass,0-10,0.086064617,51
September,2017,SDL2,SDL,C-8,cordgrass,absent,cordgrass,10-20,0.286123142,51
September,2017,SDL2,SDL,C+4,cordgrass,present,mixed,0-10,0.582254852,28
September,2017,SDL2,SDL,C+4,cordgrass,present,mixed,10-20,0.557387046,28
September,2017,SDL2,SDL,C+7,cordgrass,present,mixed,0-10,0.239195897,28
September,2017,SDL2,SDL,C+7,cordgrass,present,mixed,10-20,0.689042249,28
September,2017,SDL2,SDL,C+8,cordgrass,present,mixed,0-10,0.200770878,37
September,2017,SDL2,SDL,C+8,cordgrass,present,mixed,10-20,0.062774886,37
September,2017,SDL2,SDL,C+9,cordgrass,present,mixed,0-10,0.112771395,36
September,2017,SDL2,SDL,C+9,cordgrass,present,mixed,10-20,0.54555837,36
September,2017,SDL2,SDL,P-1,pickleweed,absent,pickleweed,0-10,0.452769841,0
September,2017,SDL2,SDL,P-1,pickleweed,absent,pickleweed,10-20,0.277460386,0
September,2017,SDL2,SDL,P-2,pickleweed,absent,pickleweed,0-10,0.243098555,0
September,2017,SDL2,SDL,P-2,pickleweed,absent,pickleweed,10-20,0.404572373,0
September,2017,SDL2,SDL,P-6,pickleweed,absent,pickleweed,0-10,0.195934558,0
September,2017,SDL2,SDL,P-6,pickleweed,absent,pickleweed,10-20,0.134923699,0
September,2017,SDL2,SDL,P-8,pickleweed,absent,pickleweed,0-10,0.155037761,0
September,2017,SDL2,SDL,P-8,pickleweed,absent,pickleweed,10-20,0.308701229,0
September,2017,SDL2,SDL,P+3,pickleweed,present,mixed,0-10,0.050233406,30
September,2017,SDL2,SDL,P+3,pickleweed,present,mixed,10-20,0.33819648,30
September,2017,SDL2,SDL,P+4,pickleweed,present,mixed,0-10,0.10822287,29
September,2017,SDL2,SDL,P+4,pickleweed,present,mixed,10-20,0.384759313,29
September,2017,SDL2,SDL,P+5,pickleweed,present,mixed,0-10,0.248398327,26
September,2017,SDL2,SDL,P+5,pickleweed,present,mixed,10-20,0.488247852,26
September,2017,SDL2,SDL,P+8,pickleweed,present,mixed,0-10,0.053917249,42
September,2017,SDL2,SDL,P+8,pickleweed,present,mixed,10-20,0.529015252,42