Date,Month,Year,Site,Rep,Community ,Focal.Plant,Neighbor,SF-L,SF-D,SF-T,Spac,Mud,Other,Total,Corr.SF-L,Corr. SF-D,Corr.Spac,Corr.Mud,Corr.Other,Other Species
5/10/17,May,2017,SDL,C+1,mixed,cordgrass,present,32,33,65,25,10,0,100,0.32,0.33,0.25,0.10,0,
5/10/17,May,2017,SDL,C+2,mixed,cordgrass,present,42,10,52,48,0,0,100,0.42,0.10,0.48,0.00,0,
5/10/17,May,2017,SDL,C+3,mixed,cordgrass,present,29,0,29,70,0,0,99,0.29,0.00,0.71,0.00,0,
5/10/17,May,2017,SDL,C+4,mixed,cordgrass,present,23,14,37,60,3,0,100,0.23,0.14,0.60,0.03,0,
5/10/17,May,2017,SDL,C+5,mixed,cordgrass,present,26,0,26,72,2,0,100,0.26,0.00,0.72,0.02,0,
5/10/17,May,2017,SDL,C+6,mixed,cordgrass,present,24,2,26,71,2,0,99,0.24,0.02,0.72,0.02,0,
5/10/17,May,2017,SDL,C+7,mixed,cordgrass,present,23,4,27,66,7,0,100,0.23,0.04,0.66,0.07,0,
5/10/17,May,2017,SDL,C+8,mixed,cordgrass,present,32,13,45,51,4,0,100,0.32,0.13,0.51,0.04,0,
5/10/17,May,2017,SDL,C+9,mixed,cordgrass,present,15,14,29,70,0,0,99,0.15,0.14,0.71,0.00,0,
5/10/17,May,2017,SDL,C+10,mixed,cordgrass,present,13,28,41,57,1,0,99,0.13,0.28,0.58,0.01,0,
5/10/17,May,2017,SDL,C-1,cordgrass,cordgrass,absent,31,25,56,49,0,0,105,0.30,0.24,0.47,0.00,0,
5/10/17,May,2017,SDL,C-2,cordgrass,cordgrass,absent,26,23,49,43,8,0,100,0.26,0.23,0.43,0.08,0,
5/10/17,May,2017,SDL,C-3,cordgrass,cordgrass,absent,62,8,70,29,0,0,99,0.63,0.08,0.29,0.00,0,
5/10/17,May,2017,SDL,C-4,cordgrass,cordgrass,absent,43,1,44,54,1,0,99,0.43,0.01,0.55,0.01,0,
5/10/17,May,2017,SDL,C-5,cordgrass,cordgrass,absent,64,2,66,32,0,0,98,0.65,0.02,0.33,0.00,0,
5/10/17,May,2017,SDL,C-6,cordgrass,cordgrass,absent,30,1,31,69,0,0,100,0.30,0.01,0.69,0.00,0,
5/10/17,May,2017,SDL,C-7,cordgrass,cordgrass,absent,32,3,35,65,1,0,101,0.32,0.03,0.64,0.01,0,
5/10/17,May,2017,SDL,C-8,cordgrass,cordgrass,absent,33,11,44,48,7,0,99,0.33,0.11,0.48,0.07,0,
5/10/17,May,2017,SDL,C-9,cordgrass,cordgrass,absent,50,11,61,39,1,0,101,0.50,0.11,0.39,0.01,0,
5/10/17,May,2017,SDL,C-10,cordgrass,cordgrass,absent,16,8,24,64,7,0,95,0.17,0.08,0.67,0.07,0,
5/10/17,May,2017,SDL,P+1,mixed,pickleweed,present,43,26,69,25,6,0,100,0.43,0.26,0.25,0.06,0,
5/10/17,May,2017,SDL,P+2,mixed,pickleweed,present,35,13,48,52,0,0,100,0.35,0.13,0.52,0.00,0,
5/10/17,May,2017,SDL,P+3,mixed,pickleweed,present,35,4,39,59,1,0,99,0.35,0.04,0.60,0.01,0,
5/10/17,May,2017,SDL,P+4,mixed,pickleweed,present,15,5,20,72,8,0,100,0.15,0.05,0.72,0.08,0,
5/10/17,May,2017,SDL,P+5,mixed,pickleweed,present,35,0,35,64,0,0,99,0.35,0.00,0.65,0.00,0,
5/10/17,May,2017,SDL,P+6,mixed,pickleweed,present,41,0,41,59,2,0,102,0.40,0.00,0.58,0.02,0,
5/10/17,May,2017,SDL,P+7,mixed,pickleweed,present,24,13,37,57,5,0,99,0.24,0.13,0.58,0.05,0,
5/10/17,May,2017,SDL,P+8,mixed,pickleweed,present,43,4,47,50,2,0,99,0.43,0.04,0.51,0.02,0,
5/10/17,May,2017,SDL,P+9,mixed,pickleweed,present,12,18,30,70,1,0,101,0.12,0.18,0.69,0.01,0,
5/10/17,May,2017,SDL,P+10,mixed,pickleweed,present,15,6,21,78,2,0,101,0.15,0.06,0.77,0.02,0,
5/10/17,May,2017,SDL,P-1,pickleweed,pickleweed,absent,15,43,58,39,2,0,99,0.15,0.43,0.39,0.02,0,
5/10/17,May,2017,SDL,P-2,pickleweed,pickleweed,absent,26,8,34,60,5,0,99,0.26,0.08,0.61,0.05,0,
5/10/17,May,2017,SDL,P-3,pickleweed,pickleweed,absent,50,31,81,24,0,0,105,0.48,0.30,0.23,0.00,0,
5/10/17,May,2017,SDL,P-4,pickleweed,pickleweed,absent,47,8,55,45,0,0,100,0.47,0.08,0.45,0.00,0,
5/10/17,May,2017,SDL,P-5,pickleweed,pickleweed,absent,37,6,43,54,4,0,101,0.37,0.06,0.53,0.04,0,
5/10/17,May,2017,SDL,P-6,pickleweed,pickleweed,absent,45,0,45,58,1,0,104,0.43,0.00,0.56,0.01,0,
5/10/17,May,2017,SDL,P-7,pickleweed,pickleweed,absent,35,0,35,59,1,0,95,0.37,0.00,0.62,0.01,0,
5/10/17,May,2017,SDL,P-8,pickleweed,pickleweed,absent,26,13,39,59,2,0,100,0.26,0.13,0.59,0.02,0,
5/10/17,May,2017,SDL,P-9,pickleweed,pickleweed,absent,46,7,53,46,2,0,101,0.46,0.07,0.46,0.02,0,
5/10/17,May,2017,SDL,P-10,pickleweed,pickleweed,absent,24,6,30,64,6,0,100,0.24,0.06,0.64,0.06,0,
5/10/16,May,2016,SDL,C+1,mixed,cordgrass,present,14,50,64,30,6,0,100,0.14,0.50,0.30,0.06,0,
5/10/16,May,2016,SDL,C+2,mixed,cordgrass,present,28,35,63,30,7,0,100,0.28,0.35,0.30,0.07,0,
5/10/16,May,2016,SDL,C+3,mixed,cordgrass,present,13,62,75,25,0,0,100,0.13,0.62,0.25,0.00,0,
5/10/16,May,2016,SDL,C+4,mixed,cordgrass,present,9,26,35,62,0,0,97,0.09,0.27,0.64,0.00,0,
5/10/16,May,2016,SDL,C+5,mixed,cordgrass,present,34,20,54,44,0,0,98,0.35,0.20,0.45,0.00,0,
5/10/16,May,2016,SDL,C+6,mixed,cordgrass,present,16,25,41,59,0,0,100,0.16,0.25,0.59,0.00,0,
5/10/16,May,2016,SDL,C+7,mixed,cordgrass,present,21,19,40,55,3,0,98,0.21,0.19,0.56,0.03,0,
5/10/16,May,2016,SDL,C+8,mixed,cordgrass,present,21,11,32,64,4,0,100,0.21,0.11,0.64,0.04,0,
5/10/16,May,2016,SDL,C-1,cordgrass,cordgrass,absent,28,58,86,13,1,0,100,0.28,0.58,0.13,0.01,0,
5/10/16,May,2016,SDL,C-2,cordgrass,cordgrass,absent,11,26,37,62,1,0,100,0.11,0.26,0.62,0.01,0,
5/10/16,May,2016,SDL,C-3,cordgrass,cordgrass,absent,26,54,80,20,0,0,100,0.26,0.54,0.20,0.00,0,
5/10/16,May,2016,SDL,C-4,cordgrass,cordgrass,absent,9,19,28,69,0,2,99,0.09,0.19,0.70,0.00,0.02020202,JAM
5/10/16,May,2016,SDL,C-5,cordgrass,cordgrass,absent,24,30,54,45,1,0,100,0.24,0.30,0.45,0.01,0,
5/10/16,May,2016,SDL,C-6,cordgrass,cordgrass,absent,13,15,28,72,0,0,100,0.13,0.15,0.72,0.00,0,
5/10/16,May,2016,SDL,C-7,cordgrass,cordgrass,absent,28,22,50,49,1,0,100,0.28,0.22,0.49,0.01,0,
5/10/16,May,2016,SDL,C-8,cordgrass,cordgrass,absent,38,21,59,36,5,0,100,0.38,0.21,0.36,0.05,0,
5/10/16,May,2016,SDL,P+1,mixed,pickleweed,present,17,55,72,24,3,0,99,0.17,0.56,0.24,0.03,0,
5/10/16,May,2016,SDL,P+2,mixed,pickleweed,present,22,38,60,31,11,0,102,0.22,0.37,0.30,0.11,0,
5/10/16,May,2016,SDL,P+3,mixed,pickleweed,present,16,34,50,48,2,0,100,0.16,0.34,0.48,0.02,0,
5/10/16,May,2016,SDL,P+4,mixed,pickleweed,present,23,26,49,51,0,0,100,0.23,0.26,0.51,0.00,0,
5/10/16,May,2016,SDL,P+5,mixed,pickleweed,present,32,8,40,54,5,0,99,0.32,0.08,0.55,0.05,0,
5/10/16,May,2016,SDL,P+6,mixed,pickleweed,present,40,21,61,38,1,0,100,0.40,0.21,0.38,0.01,0,
5/10/16,May,2016,SDL,P+7,mixed,pickleweed,present,35,12,47,50,1,0,98,0.36,0.12,0.51,0.01,0,
5/10/16,May,2016,SDL,P+8,mixed,pickleweed,present,20,25,45,54,1,0,100,0.20,0.25,0.54,0.01,0,
5/10/16,May,2016,SDL,P-1,pickleweed,pickleweed,absent,16,40,56,44,0,0,100,0.16,0.40,0.44,0.00,0,
5/10/16,May,2016,SDL,P-2,pickleweed,pickleweed,absent,23,43,66,34,1,0,101,0.23,0.43,0.34,0.01,0,
5/10/16,May,2016,SDL,P-3,pickleweed,pickleweed,absent,31,30,61,38,0,0,99,0.31,0.30,0.38,0.00,0,
5/10/16,May,2016,SDL,P-4,pickleweed,pickleweed,absent,16,2,18,82,0,0,100,0.16,0.02,0.82,0.00,0,
5/10/16,May,2016,SDL,P-5,pickleweed,pickleweed,absent,26,24,50,50,0,0,100,0.26,0.24,0.50,0.00,0,
5/10/16,May,2016,SDL,P-6,pickleweed,pickleweed,absent,34,24,58,41,1,0,100,0.34,0.24,0.41,0.01,0,
5/10/16,May,2016,SDL,P-7,pickleweed,pickleweed,absent,34,11,45,46,5,3,99,0.34,0.11,0.46,0.05,0.03030303,
5/10/16,May,2016,SDL,P-8,pickleweed,pickleweed,absent,30,27,57,43,1,0,101,0.30,0.27,0.43,0.01,0,
4/26/16,April,2016,KF,C+1,mixed,cordgrass,present,44,14,58,18,26,6,108,0.41,0.13,0.17,0.24,0.055555556,BAT
4/26/16,April,2016,KF,C+2,mixed,cordgrass,present,23,22,45,52,2,1,100,0.23,0.22,0.52,0.02,0.01,BAT
4/26/16,April,2016,KF,C+3,mixed,cordgrass,present,23,12,35,44,10,14,103,0.22,0.12,0.43,0.10,0.13592233,BAT
4/26/16,April,2016,KF,C+4,mixed,cordgrass,present,28,24,52,36,5,5,98,0.29,0.24,0.37,0.05,0.051020408,BAT(4); JAM(1)
4/26/16,April,2016,KF,C+5,mixed,cordgrass,present,33,29,62,27,3,8,100,0.33,0.29,0.27,0.03,0.08,BAT(6); JAM(2)
4/26/16,April,2016,KF,C+6,mixed,cordgrass,present,22,14,36,42,4,17,99,0.22,0.14,0.42,0.04,0.171717172,BAT(15); JAM(2)
4/26/16,April,2016,KF,C+7,mixed,cordgrass,present,30,24,54,36,5,5,100,0.30,0.24,0.36,0.05,0.05,BAT(4); JAM(1)
4/26/16,April,2016,KF,C-1,cordgrass,cordgrass,absent,20,9,29,30,14,27,100,0.20,0.09,0.30,0.14,0.27,BAT(19); JAM(8)
4/26/16,April,2016,KF,C-2,cordgrass,cordgrass,absent,26,6,32,50,18,7,107,0.24,0.06,0.47,0.17,0.065420561,BAT(2); JAM(5)
4/26/16,April,2016,KF,C-3,cordgrass,cordgrass,absent,32,13,45,44,7,4,100,0.32,0.13,0.44,0.07,0.04,BAT
4/26/16,April,2016,KF,C-4,cordgrass,cordgrass,absent,23,29,52,22,16,9,99,0.23,0.29,0.22,0.16,0.090909091,BAT
4/26/16,April,2016,KF,C-5,cordgrass,cordgrass,absent,15,20,35,36,12,17,100,0.15,0.20,0.36,0.12,0.17,BAT(8); JAM(9)
4/26/16,April,2016,KF,C-6,cordgrass,cordgrass,absent,41,27,68,25,4,3,100,0.41,0.27,0.25,0.04,0.03,JAM
4/26/16,April,2016,KF,C-7,cordgrass,cordgrass,absent,28,24,52,44,4,0,100,0.28,0.24,0.44,0.04,0,
4/26/16,April,2016,KF,P+1,mixed,pickleweed,present,38,4,42,36,16,4,98,0.39,0.04,0.37,0.16,0.040816327,BAT(3); JAM(1)
4/26/16,April,2016,KF,P+2,mixed,pickleweed,present,21,19,40,53,4,0,97,0.22,0.20,0.55,0.04,0,
4/26/16,April,2016,KF,P+3,mixed,pickleweed,present,32,22,54,41,4,0,99,0.32,0.22,0.41,0.04,0,
4/26/16,April,2016,KF,P+4,mixed,pickleweed,present,30,19,49,47,4,0,100,0.30,0.19,0.47,0.04,0,
4/26/16,April,2016,KF,P+5,mixed,pickleweed,present,21,14,35,43,16,6,100,0.21,0.14,0.43,0.16,0.06,BAT(5); JAM(1)
4/26/16,April,2016,KF,P+6,mixed,pickleweed,present,33,26,59,25,8,8,100,0.33,0.26,0.25,0.08,0.08,BAT(2); JAM(6)
4/26/16,April,2016,KF,P+7,mixed,pickleweed,present,20,28,48,30,7,15,100,0.20,0.28,0.30,0.07,0.15,BAT(13); JAM(2)
4/26/16,April,2016,KF,P-1,pickleweed,pickleweed,absent,19,10,29,47,12,20,108,0.18,0.09,0.44,0.11,0.185185185,BAT
4/26/16,April,2016,KF,P-2,pickleweed,pickleweed,absent,34,22,56,28,7,9,100,0.34,0.22,0.28,0.07,0.09,BAT(7); JAM(2)
4/26/16,April,2016,KF,P-3,pickleweed,pickleweed,absent,16,22,38,55,6,0,99,0.16,0.22,0.56,0.06,0,
4/26/16,April,2016,KF,P-4,pickleweed,pickleweed,absent,45,26,71,21,5,3,100,0.45,0.26,0.21,0.05,0.03,BAT
4/26/16,April,2016,KF,P-5,pickleweed,pickleweed,absent,21,14,35,43,16,5,99,0.21,0.14,0.43,0.16,0.050505051,BAT
4/26/16,April,2016,KF,P-6,pickleweed,pickleweed,absent,21,23,44,39,5,12,100,0.21,0.23,0.39,0.05,0.12,BAT(6); SUED(2); JAM(2); TRI(2)
4/26/16,April,2016,KF,P-7,pickleweed,pickleweed,absent,27,27,54,33,1,12,100,0.27,0.27,0.33,0.01,0.12,BAT(10); JAM(2)